Company,Position,Connected On
Carnegie Mellon University,Research Assistant,28 Dec 2021
Motion Recruitment,Senior Talent Advisor,08 Dec 2021
Lucas James Talent Partners,Sourcing Specialist,07 Dec 2021
Franchise Advisory Network,Franchise Talent Acquisition,02 Dec 2021
Edmunds,Lead Analyst,01 Dec 2021
Harvard Business School Executive Education,Associate Faculty & Researcher at Harvard Business School Executive Education and Harvard Health,30 Nov 2021
PFM,Environmental Finance Group | Senior Managing Consultant (Advisory),20 Nov 2021
"ARNOLD S. WARWICK & CO., LTD.",Assistant Property Manager,18 Nov 2021
Apple,Specialist,17 Nov 2021
Slalom,Talent Acquisition Manager,15 Nov 2021
Slalom,Business Intelligence Developer,12 Nov 2021
Slalom,"Senior Manager, Global Business Enablement",12 Nov 2021
Leaf Group,"Frontend Engineer - Product, Saatchi Art",10 Nov 2021
Slalom,Talent Acquisition Manager,06 Nov 2021
Slalom,Director of Financial Planning and Analysis,04 Nov 2021
Slalom,Financial Analyst,04 Nov 2021
Slalom,Senior Data Analyst,27 Oct 2021
GeoJunxion BV,Data Scientist,27 Oct 2021
Cryptoroots,Executive trader,27 Oct 2021
Caltech,Research Technician Assistant ,19 Oct 2021
Eleven Recruiting,Lead Technical Recruiter,15 Oct 2021
Scripps College,Senior Outreach Coordinator,13 Oct 2021
Slalom,Senior Financial Analyst,12 Oct 2021
One Community LLC,"Coordinator, Office of the CEO ",09 Oct 2021
Democratic National Committee,Voter Protection & Insights Analyst,09 Oct 2021
Watershed,Carbon Data Analyst,08 Oct 2021
Payden & Rygel,Emerging Markets Portfolio Analyst,08 Oct 2021
CCS Fundraising,"AVP, Data Analytics & Insights ",06 Oct 2021
The NPD Group,Recruitment Operations Manager,06 Oct 2021
ASP- Staffing,Executive Recruiter,06 Oct 2021
CCS Fundraising,Data Analyst,04 Oct 2021
Saggezza,Senior Recruiter,04 Oct 2021
Atlantic Health System,Summer Intern,02 Oct 2021
VotingSmarter,Founder/CEO,30 Sep 2021
JusticeCorps Los Angeles,JusticeCorps Graduate Fellow,28 Sep 2021
West 10G Productions,CEO/President,27 Sep 2021
Self-employed,Visual Artist,25 Sep 2021
Federal Reserve Bank of New York,Senior Research Analyst,25 Sep 2021
Democratic National Committee,"Analytics Lead, DNC Programs",24 Sep 2021
Freelancer.com,Certification Specialist,22 Sep 2021
University of Florida,Research Assistant,22 Sep 2021
Democratic National Committee,Senior Fundraising Analyst,21 Sep 2021
Amazon Web Services (AWS),Event Coordinator,20 Sep 2021
Flexton Inc.,Senior Recruiter ,17 Sep 2021
Collabera Inc.,Senior Talent Development Expert,14 Sep 2021
Univision Communications Inc.,Senior Accountant,14 Sep 2021
Taoti Creative,Art Director,13 Sep 2021
8x8,Business Development Representative,10 Sep 2021
Meta,Incoming FBU Engineering Intern,30 Aug 2021
Dockett Ellis Consulting,Founder and Chief Problem Solver,30 Aug 2021
Netflix,Model designer,26 Aug 2021
CCS Fundraising,Senior Vice President,24 Aug 2021
Microsoft,Software Engineer,23 Aug 2021
Blend,Business Development Growth Manager,20 Aug 2021
Iterable,Senior Accountant,19 Aug 2021
Pomona College Black Student Union,Co-Founder,18 Aug 2021
Blueprint Schools Network,Mathematics Teacher,18 Aug 2021
Hirefuel,Recruiter,17 Aug 2021
HireFuel,President,17 Aug 2021
"Milestone Technologies, Inc.",Senior Technical Recruiter,17 Aug 2021
BDG,Account Manager,17 Aug 2021
TransUnion,Sales | Financial Services: Financial Technology Solutions,12 Aug 2021
One Medical,Recruiting Operations Manager,12 Aug 2021
Blend,Organizational Effectiveness  (Sr. Lead),12 Aug 2021
Career Movement,Practice Manager/Technical Recruiter,09 Aug 2021
Blend,"Head of Diversity, Inclusion & Belonging",05 Aug 2021
Johnson Controls,Fire alarm inspector,04 Aug 2021
Blend,Product Marketing,04 Aug 2021
Excell Financial Services,Snr Scrum Master,29 Jul 2021
IT INC - Data and Analytics Engineering Recruitment. ,Managing Director - Analytics and Data Engineering Recruitment Services,29 Jul 2021
AXGlobal,Business Owner,29 Jul 2021
Goldman Sachs,Senior Associate,29 Jul 2021
Blend,Revenue Accounting,29 Jul 2021
Blend,Deal Strategist,22 Jul 2021
Blend,A/R and Revenue Accountant,20 Jul 2021
